country | 2010 | 2015 | 2018 | 2019 | 2020 | 2021 | 2022
日本 | 40.3 | 39.0 | 38.1 | 37.8 | 36.6 | 36.6 | 36.8 | 
アメリカ | 37.5 | 37.9 | 38.2 | 38.3 | 37.7 | 38.1 | 38.0 | 
カナダ | 35.5 | 35.5 | 35.7 | 32.1 | 35.2 | 35.4 | 35.3 | 
イギリス | 35.6 | 35.9 | 35.8 | 35.9 | - | - | - | 
ドイツ | 35.8 | 35.9 | 35.2 | 35.1 | 34.2 | 34.4 | 34.2 | 
フランス | 36.8 | 35.9 | 36.1 | 36.0 | 35.7 | 35.7 | 35.9 | 
イタリア | 37.5 | 36.4 | 36.9 | 36.8 | 35.8 | 36.1 | 36.2 | 
オランダ | 32.0 | 32.1 | 32.2 | 32.2 | 31.7 | 31.3 | 31.6 | 
スウェーデン | 36.3 | 35.8 | 35.9 | 35.6 | 34.9 | 35.2 | 35.3 | 
中国 | 47.0 | 45.5 | 46.5 | 46.8 | 47.0 | 47.6 | - | 
香港 | 48.0 | 45.0 | 44.0 | 44.0 | 44.0 | 44.0 | 44.0 | 
韓国 | 45.4 | 43.9 | 41.8 | 41.0 | 39.9 | 39.2 | 38.6 | 
シンガポール | - | - | 44.2 | 44.7 | 42.6 | 44.4 | 44.3 | 
タイ | 45.5 | 43.3 | 42.9 | 42.7 | 41.4 | 41.4 | 42.3 | 
インドネシア | 40.5 | 40.0 | 39.1 | 39.0 | 38.1 | 37.5 | 38.4 | 
フィリピン | - | 40.5 | 41.8 | 41.7 | 35.6 | 39.2 | - | 
オーストラリア | 34.2 | 33.9 | 33.2 | 32.9 | 31.5 | 32.9 | 32.6 | 
ニュージーランド | 32.1 | 33.3 | 33.3 | 33.3 | 32.4 | 34.1 | 34.0 | 
